model,n_heads,ols_node_r2,ols_path_r2,ols_all_r2,ols_all_adj_r2,rf_node_cv_r2,rf_all_cv_r2,beta_katz_bcast,beta_katz_recv,beta_comm,beta_cf_bet
gpt2,144,0.23535894121660716,0.33958104632397423,0.38013783044438487,0.34340525743368167,-0.722026977629904,-0.7355806034213265,-0.008327804933297892,0.05651500268786304,-0.23732361002294206,0.8019729914852272
gpt2-medium,384,0.0785789628186846,0.038177346393785005,0.08232293295745186,0.06771799289841918,-0.4117179726800727,-0.4845932534837834,1.7366553996608057e-17,0.0,0.013391511105327991,-0.20782544845088344
facebook/opt-125m,144,0.6539854858498044,0.7507952532507831,0.7687497843639406,0.7550460678818037,-1.4062966029415747,-2.0803430295976675,0.17579608486948978,0.039818248771307525,0.27942757375416927,0.4570002266957901
eleutherai/pythia-70m,48,0.7148377844321061,0.8403775616279014,0.8751650741949015,0.849557909927189,-0.9571765010189376,-3.5354543650600325,-0.2335895389635849,0.005531218268144119,-0.16449707771184846,1.2409677251950526
eleutherai/pythia-160m,144,0.8020857990563413,0.9060297724079241,0.9118026249891302,0.906576113877375,-0.12957009395017852,0.07535393439978673,-0.021807641553171372,-0.005715048363596849,-0.035724087295432694,0.999315342040521
